task,priority
Print important documents,Medium
Browse online shopping,Low
Print important documents,Medium
Pack for tomorrow’s trip,High
Pet the cat,Low
Buy groceries,Medium
Pay electricity bill,Medium
Attend job interview,High
Go to the bank,Medium
Play video games,Low
Call a friend,Low
Fix leaky faucet,Medium
Pick up child from school,High
Update resume,Medium
Browse online shopping,Low
Watch a documentary,Low
Pet the cat,Low
Scroll social media,Low
Call a friend,Low
Pay rent before deadline,High
Declutter phone apps,Low
File visa application,High
Scroll social media,Low
Meet client deadline,High
Water the lawn,Low
Clean out old emails,Low
Try a new recipe,Low
Meet client deadline,High
Watch YouTube videos,Low
Clean the kitchen,Medium
Call the plumber,Medium
Declutter phone apps,Low
Change bed sheets,Medium
Prepare for final exam,High
Clean bathroom,Medium
Journal for 10 minutes,Low
Renew gym membership,Medium
Scroll social media,Low
Set budget for month,Medium
Prepare urgent report,High
Clean bathroom,Medium
Attend investor meeting,High
Schedule dentist appointment,Medium
Clean out old emails,Low
Buy groceries,Medium
Paint nails,Low
Scroll social media,Low
Set budget for month,Medium
Organize wardrobe,Medium
Watch a documentary,Low
Take a nap,Low
Wash the car,Medium
File visa application,High
Go to hospital appointment,High
Close business deal,High
Wash the car,Medium
Update security credentials,High
Submit tax forms,High
Prepare for final exam,High
Organize bookshelf,Low
Back up computer files,Medium
Vacuum the living room,Medium
Buy groceries,Medium
Check credit card balance,Medium
Read a novel,Low
Send final project files,High
Water the plants,Low
Do the laundry,Medium
Check credit card balance,Medium
Send final project files,High
Submit tax forms,High
Listen to music,Low
Resolve customer complaint,High
Get passport renewed,High
Take pet to vet urgently,High
Fix server issue,High
Paint nails,Low
Clean the kitchen,Medium
Buy pet food,Medium
Paint nails,Low
Update resume,Medium
Play video games,Low
Change bed sheets,Medium
Complete annual review,High
Pack for tomorrow’s trip,High
Schedule dentist appointment,Medium
Fix server issue,High
Do the laundry,Medium
Take pet to vet urgently,High
Attend court hearing,High
Submit tax forms,High
Journal for 10 minutes,Low
Send final project files,High
Pick up prescription,Medium
Water the plants,Low
Take car for inspection,High
Defend thesis,High
Do some light stretching,Low
Update security credentials,High
Update security credentials,High
Try a new recipe,Low
Update resume,Medium
Call the plumber,Medium
Research new phone,Medium
Fix server issue,High
Try a new recipe,Low
Watch a movie,Low
Attend job interview,High
Arrange photo albums,Low
Try a new recipe,Low
Pack for tomorrow’s trip,High
Submit tax forms,High
Water the lawn,Low
Prepare urgent report,High
Do a puzzle,Low
Respond to legal notice,High
Watch a documentary,Low
Check smoke detectors,Medium
Declutter phone apps,Low
Water the lawn,Low
Present project demo,High
Buy pet food,Medium
Do a puzzle,Low
Meal prep for the week,Medium
Pay rent before deadline,High
Send final project files,High
Vacuum the living room,Medium
Write blog post,Medium
Resolve customer complaint,High
Update security credentials,High
Pick up child from school,High
Replace broken phone,High
Call a friend,Low
Watch a movie,Low
Book flight tickets,Medium
Change bed sheets,Medium
Pay rent before deadline,High
Vacuum the living room,Medium
Submit job application,High
Close business deal,High
Go to hospital appointment,High
Update security credentials,High
Take a nap,Low
Attend job interview,High
Renew gym membership,Medium
Update security credentials,High
Buy groceries,Medium
Iron clothes,Medium
Complete annual review,High
Send final project files,High
Check credit card balance,Medium
Declutter phone apps,Low
Respond to legal notice,High
Replace broken phone,High
Prepare presentation,Medium
Prepare urgent report,High
Clean out old emails,Low
Defend thesis,High
Do a puzzle,Low
Prepare for final exam,High
Pack for tomorrow’s trip,High
Schedule dentist appointment,Medium
Clean the kitchen,Medium
Present project demo,High
Iron clothes,Medium
Make a new playlist,Low
Submit tax forms,High
Meal prep for the week,Medium
Update resume,Medium
Prepare urgent report,High
